,Date,Open,High,Low,Close,Adj Close,Volume
682,2018-09-18,3.8,3.83,3.8,3.82,3.6604,123400
683,2018-09-19,3.9,3.91,3.87,3.9,3.737058,227700
684,2018-09-20,3.88,3.92,3.87,3.91,3.74664,88000
685,2018-09-21,3.87,3.9,3.84,3.88,3.7178940000000003,232600
686,2018-09-24,3.86,3.86,3.82,3.85,3.689147,51100
687,2018-09-25,3.83,3.86,3.8,3.81,3.650818,104000
688,2018-09-26,3.81,3.86,3.79,3.82,3.6604,109700
689,2018-09-27,3.84,3.85,3.79,3.81,3.650818,78000
690,2018-09-28,3.76,3.81,3.76,3.79,3.631654,97500
691,2018-10-01,3.82,3.82,3.78,3.79,3.631654,110200
692,2018-10-02,3.76,3.79,3.74,3.77,3.612489,92000
693,2018-10-03,3.81,3.81,3.77,3.79,3.631654,121000
694,2018-10-04,3.72,3.73,3.68,3.7,3.545414,65100
695,2018-10-05,3.61,3.62,3.55,3.58,3.430428,142400
696,2018-10-08,3.52,3.59,3.52,3.59,3.44001,55000
697,2018-10-09,3.49,3.51,3.47,3.5,3.35377,99000
698,2018-10-10,3.57,3.6,3.54,3.55,3.401681,143700
699,2018-10-11,3.62,3.65,3.57,3.59,3.44001,188700
700,2018-10-12,3.69,3.7,3.62,3.67,3.516668,208800
701,2018-10-15,3.63,3.65,3.62,3.63,3.478339,100200
702,2018-10-16,3.55,3.59,3.52,3.56,3.411263,164100
703,2018-10-17,3.54,3.58,3.52,3.57,3.420846,120600
704,2018-10-18,3.82,3.92,3.82,3.9,3.737058,420400
705,2018-10-19,3.9,3.96,3.89,3.94,3.7753870000000003,114900
706,2018-10-22,3.91,3.92,3.85,3.88,3.7178940000000003,55000
707,2018-10-23,3.91,3.95,3.86,3.94,3.7753870000000003,210300
708,2018-10-24,3.88,3.9,3.82,3.83,3.669983,76100
709,2018-10-25,3.81,3.86,3.79,3.85,3.689147,91000
710,2018-10-26,3.8,3.82,3.74,3.82,3.6604,92300
711,2018-10-29,3.88,3.9,3.82,3.86,3.698729,167900
712,2018-10-30,3.84,3.9,3.84,3.9,3.737058,175100
713,2018-10-31,3.85,3.88,3.83,3.87,3.7083120000000003,59700
714,2018-11-01,3.93,3.95,3.89,3.94,3.7753870000000003,117000
715,2018-11-02,3.97,3.97,3.94,3.96,3.7945510000000002,148400
716,2018-11-05,3.99,4.0,3.95,3.98,3.8137160000000003,114200
717,2018-11-06,3.92,3.94,3.91,3.93,3.7658050000000003,85400
718,2018-11-07,4.0,4.01,3.98,4.01,3.8424629999999995,129900
719,2018-11-08,4.05,4.06,4.01,4.02,3.8520449999999995,100900
720,2018-11-09,3.98,3.99,3.95,3.97,3.8041339999999995,64000
